ID,Genus,Substrate,Sub,BlockNum,DateMeasured,DatePlanted,DateHarvested,NumStems_Initial,Height_cm_Initial,Diameter_mm_Initial,NumStems,Height_cm,Diameter_mm,Condition,Notes_PreHarvest,DateWetWeighed,AGWetmass_g,BGWetmass_g,DateAGDryWeighed,AGDrymass_g,DateBGDryWeighed,BGDrymass_g,Totmass,Notes_Biomass,Dead,Exclude
110,Sporobolus,Fine,F,9,4/12/2022,10/22/2021,4/20/2022,10,53.7,,15,152.8,,4,,4/20/2022,185.7,349,5/3/2022,58.84,4/29/2022,16.95,75.79,,N,N
111,Zizaniopsis,Fine,F,9,4/12/2022,12/8/2021,4/20/2022,7,,,10,70.2,,5,,4/20/2022,20.5,86.15,5/3/2022,5.99,4/29/2022,5.05,11.04,,N,N
112,Salix,Mix,M,9,4/12/2022,10/22/2021,4/20/2022,,,7.22,5,128.6,12.02,5,,4/20/2022,85.9,170.1,5/1/2022,29.38,4/29/2022,10.92,40.3,,N,N
113,Salix,Fine,F,9,4/12/2022,11/7/2021,4/20/2022,,,4.01,1,54.6,4.14,5,,4/20/2022,175.5,38.7,5/1/2022,6.24,4/29/2022,2.85,9.09,,N,N
114,Zizaniopsis,Mix,M,9,4/12/2022,10/22/2021,4/20/2022,4,,,16,151.2,,5,,4/20/2022,118.1,347.2,5/1/2022,30.05,4/29/2022,29.39,59.44,,N,N
115,Zizaniopsis,Fine,F,10,4/12/2022,11/18/2021,4/20/2022,8,,,11,101,,4,,4/20/2022,38.5,159.7,5/1/2022,9.46,4/27/2022,21.51,30.97,,N,N
116,Salix,Mix,M,10,4/12/2022,10/22/2021,4/20/2022,,,8.94,5,99.8,12.87,5,,4/20/2022,59.3,117.1,5/1/2022,21.06,4/27/2022,7.61,28.67,,N,N
117,Zizaniopsis,Mix,M,10,4/12/2022,11/18/2021,4/20/2022,3,,,13,120.4,,5,smaller plant,4/20/2022,57.8,118.4,5/3/2022,13.39,4/27/2022,13.06,26.45,,N,N
118,Sporobolus,Fine,F,10,4/12/2022,10/22/2021,4/20/2022,12,62.5,,15,106.2,,4,,4/20/2022,164.5,363.9,5/3/2022,48.89,4/27/2022,30.83,79.72,,N,N
119,Zizaniopsis,Coarse,C,10,4/12/2022,11/18/2021,4/20/2022,7,,,14,96.3,,4,small,4/20/2022,20.8,79.8,5/1/2022,5.38,5/4/2022,7.51,12.89,,N,N
120,Salix,Fine,F,10,4/12/2022,10/22/2021,4/20/2022,,,5.84,1,80.6,6.84,5,,4/20/2022,29.5,82.4,5/1/2022,11.13,4/27/2022,11.1,22.23,,N,N
